"Tabela 284 - Municípios por classe de tamanho da população, sexo, idade, nível de instrução e partido político do prefeito, e indicativo se o prefeito exercia mandato no último ano da legislatura anterior"
"Variável - Número de municípios (Unidades)"
"","Nível de instrução do prefeito","Partido político do prefeito","Indicativo se o prefeito exercia mandato no último ano da legislatura anterior","Ano x Classe de tamanho da população do município x Sexo do prefeito x Grupos de idade do prefeito"
"","Nível de instrução do prefeito","Partido político do prefeito","Indicativo se o prefeito exercia mandato no último ano da legislatura anterior","2005"
"","Nível de instrução do prefeito","Partido político do prefeito","Indicativo se o prefeito exercia mandato no último ano da legislatura anterior","Total"
"","Nível de instrução do prefeito","Partido político do prefeito","Indicativo se o prefeito exercia mandato no último ano da legislatura anterior","Total"
"","Nível de instrução do prefeito","Partido político do prefeito","Indicativo se o prefeito exercia mandato no último ano da legislatura anterior","Total"
"Brasil","Total","Total","Total","5564"
"Fonte: IBGE - Pesquisa de Informações Básicas Municipais"

""
"Legenda"
"Símbolo","Significado"
"-","Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0","Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X","Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..","Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...","Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)","Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
